"referee","avail"
81,"BDJHNNNNJDJJMMJNJBDBJNJBJBDNDJNBJJMJMJNBB"
82,"NJNHHNJBDBNJHHJJNBHJHJDJNNJMNNJMHBMMJBDNB"
83,"JJNBJJNMJJJJNJJJNJJJJMNNJNNJBNNHJNDHJHNJH"
84,"MJNHHDJNNJJMJJJJJJNNNMJNJDBHHNNHNJJJJDHNJ"
85,"JDNJJMHJNNHNHMNMMNNJJJHNNBJJJNBNJJHBNJNHD"
86,"DDNNHBNNHHDJMJMJNJJNJBNJNNJJNBJJJJJJHJNJN"
87,"JHJJJDJBBJMBJHNJJHHJJNBBNHNNJHJJHNJNHJJJN"
88,"NJJDDBJJNJBBJHNJJBHDNNHNNJNMJJJBBNNJNHNNN"
89,"JDNNNNNMBHHNJJJJNHDNJBJJBDJHNHJNJNJBJJJNH"
90,"NNMBNJNJJDDJJHMDJHJNJNJBNNBNNJBJHHDJJJBNJ"
91,"NMJJJJNNJNJJJNJDJMNJNJJJJJBHBJJBNNJDJJNBN"
92,"HNJNNNJNHJNJJBDNJNJJBJJJNJMNJNJBJJJHNJJJJ"
93,"JDJJNNJJNJMNJJNNHJJJMJBNDBNJNHBNNBJHJMDNN"
94,"NHNJNNNNJNNDNJNJDNNJJJJNBNJJNJNJJJNJNBBND"
95,"JJHMJNNJJJHNJNNNBNNJHNDMBJNJJHNJJBJNNJJJH"
96,"DJBJNHBNJNJHNMMNNNHJHJJNMNBJNNJHJNNBJJJNJ"
97,"NNJJJNHBJJNMJJNMJJJNDNJJBJJJJJHBNHJHNNJJJ"
98,"JHJHNNNJNJJHJJJJJNJJBNJHNBMJBNDNHJDJJBJJM"
99,"JNNNJNMHJJJJDNNJNJHBNHJNJNJHMNBNJNJJNBNJN"
100,"NJNBHBJNBBNNJMHJJDMMNHNNHBJDJDHNHJJNJJHNM"
101,"HJJJNJJJDDJBNJBNJJJJJNJNNNNHNNJJJJJNNDJJD"
102,"JNJNJJJJHJHNHJDNJNNNJJMNDJJJBDNNNJJNNNJNH"
103,"DDJNBHJHJJJHNNJDNNMHDJNHNDMNNNDJBBJHJBNJM"
104,"JJMNNNNNNMNNNMJNJJNBJNNHJBMMJNNNNMJJJHNNN"
105,"HDJBJNJJHJJJHJNNJJHNJNBHDJNHMNBJJDJDBJJJJ"
106,"JDJJJNNMHNJJJJBJNHNNJJNNBJNJNNJNNJJJJNJDB"
107,"JJNJJHNNBJJNMJNJNNMNNHBMJBNBJBHJJNHJNNBDD"
108,"JNJMNBDJHJHHJHNNHJJJNMJJJJBJJNJBJJJJMNJBN"
109,"NDHJNNHNJHNJJNJNHJNNBMJJJMJBJJHJMJDJNNHBB"
110,"JJDNJNJJJHHJHNJJMJJNNNNNJJNJNMJNJNJJDJJJB"
111,"JNBDNJJHMJHJDJBJMJNHNNNJHHJJBJJJJJHNJJJNN"
112,"JBJJHNHBJNJJMDNJJNNNJNJNHJJBJJMJNJJBNNJNJ"
113,"JNNMJJNHNNNDNJMBHNNJJNMDBJJDNNJBBBNMJDHJJ"
114,"JJNJHJJBJNNNNJBJBHNJNJJJJHHJJNDJNHMDJJHNH"
115,"MJNJNJMNJNBJNBJJJNJNHNBNNJJJNNNJJJBBJJJBH"
116,"DMNDJNJBBNHNNNNNBNJHJBJMNJJNJHDJBJJHDNJJJ"
117,"JNHJJHNNNNDJNJBJJDNNNJJDBHNJNJHJDNNJJNHNN"
118,"NJJJJBJNJJHMBNJDNNNNNJJJJJJHNHNBDBHJBNBJD"
119,"NHHJJJJNNNNNJNNJMJNNJJNNBDNNJHJNBJNJNHMNN"
120,"HHJHJHHHNMJJMHJNJJJJJHJBNMNDBNBJJHHJHNBDB"
121,"MJNHJJNDNDNDNNJJNMJHJHNNDJBNNJJNJJJJNJJMN"
122,"JNDDJNJNJNJNJNNJHNNNJNHJNJHHJJJJJJJDNJNMH"
123,"JNBJBHJBNHNJHJJDDJBNBNHNHBJNJJJJHBHJJBNJB"
124,"JNHHNBHNJJHNNJJJJJJJNNMHNJBJNBBNMJBNJHJJJ"
125,"NNNHBJJNHJJNNJDNMNHJJJJNHJJNNNJNNJJJNJNNH"
126,"JNDJBJNBJNBBBHJNJJJNHJJNBNJJJHJJJJHMNNNBH"
127,"BNJJBNNNHMJJNJNJNNNJJNJHJJJJJJJJNNMJNDJNJ"
128,"NJJMHHNNHJJDMJDJHJNJNJBNBJNJHNJNJJJNHNBNJ"
129,"JNJJNJMJNJJNNDJJNJJJJBNNJDMNNNNHDNNHHNNNJ"
130,"HMHHJJJNJHHHNJJNJNMHMHJJJNNJJNJJNNNJBHJJJ"
131,"NNNJJMJJDNNNHJJNJNNHNJNNNBHJJJBJBNDJBJJJJ"
132,"JJNNBJJNMJJNBHNHNJJMHNDDJJBNJMNBJJJNJJJJN"
133,"JMJNHHHNJNMJNBNJNNNHNJNBJJNJMJNHJNNNMNNJN"
134,"JJBJDNJMJJHJJDDJNJHNJNHJNNJNBNNNJJJDNJNNN"
135,"BJJNBJBJBHNJJJNJNMHHJJDNJHBJJNNMMNNNNNJMJ"
136,"NJJMJMNNJNHNNJNDMMJNNBBBNBBJJNNJHNNJBHDNJ"
137,"JNJJMBHBHJBNBNJNBJBJNJJNNJBJJBNHNJNBNJJJN"
138,"JNNNBDJJBDNJNJNNJNNJBNBJJHJJNJJBNJJJNJNJJ"
139,"JJNNHJJHNNJJDHDNNJBNBDJNNJJHJJNHNBJBNNHHB"
140,"NHJJNHMNNNJJJJDJHNJBNBDHNJMJHJNNJJNBJDJJN"
141,"JJNJNJNJNJJHJNJBJHNNBJMJNJJHHJJJHJNDJJJDN"
142,"NBHNJJNJJJNJNHJJNBJNBNNNHJHMJJJNNJJNNJJNN"
143,"JJJJNJMJNJBJHNNHJJJHHJHJMNNMNJJJJBHDMNNJJ"
144,"NHJBNNJJMMBMNNBJBJNDJMJNJNNBJJJJBNNJBNJJM"
145,"JNJNDJJNNBJNNNJNNNDMNHNJHMJJJJDHJJNDMJJNN"
146,"NDNNJJJDJBBJNNJNJMDJBNJJJNJNNMNBNJMNJNJJJ"
147,"BJJMNNNBHJBJHBNJJBJJNJJNNDNJJHJNMJJJDHJHH"
148,"NBNHJBJBJDNDNJNBMNJHJNHNJNNJMJDJJJJJBHNDJ"
149,"JNBNMNJHJMHJJNBHJNJNNNJNNNHNMDHJNNHJJJMJJ"
150,"JHNJBNJNNNNJJNJNNMNJDNHJHJHNDNJNNNMJJJJHD"
151,"JJNBJJJJBHHJNDJDBBBHJBBNJJNJHJNNJNNBJJJJJ"
152,"NJDNDJJBJBNNJJJJJJNJBNJNJNBNJHBNNJNNJJJND"
153,"NBJJNJNJBJNNHNNJNJHJNNNHJJBJBJNJJNDHNJDNM"
154,"JJNNJBJDJJNJJJJBNNJJBNJNJJNJNNBHBNNDNJJNN"
155,"JNJJHNDNJNMJJNBHJJJJJJBJMNJNNJJHJJJNJJJNJ"
156,"JNNJDNBJJJBJNNBNJJJJNJNJJBMDMBBDNNJJMNBJD"
157,"NJNNNMNJJNJNDNJJJBJJJBDNJNNNNJMBNJJMBJNNB"
158,"NBNJNMNMHHBMNNMHDNHHJJNDNNJJNJJHNHJJNHHBN"
159,"HHJNNJNJNJBHDJNNBJJJBJJJNBHJHBMBJHJNBJJHJ"
160,"BNNJNJJJJNJJJNJNJNNNMNJBJDNBJNBJHJNJJNNJN"
161,"JJJJNJNNJHJNDNJJDNJNJBBNDJNJNMHNMHBBJNNHJ"
162,"NJJJHNBJJJHNJNJNJNNDBJJJNHMNJDJNBBJMNNNNN"
163,"JJJHJNDMNJDJBJNJJHJHJHJJNMJNJNJNJNMNJJNJM"
164,"JNBHMMNJJBNJNHNNNJDNJJJNHNJJNNJJJBJJJHNHJ"
165,"JNBJNNJNJHNNJNHNJNJJJBMJJNDJNHNMNNNJJNNDD"
166,"JBJJJNNNJJJNJNBJJJBNNJNNJHJJJJJJNNJJBJJNB"
167,"HNNHBNBJDNDBJBNNNJJNJJBBJBJNNNJHJHHJHHNHJ"
168,"NJBJJHBJJBJNNMBJHMNJJJHMNJHHNNNJNJJJJJJMJ"
169,"JNNBJJNJHNNJJJNHJJJNBHDNNBMBBJJDDJMJJDJNJ"
170,"NJNNHHJNNHJJJNBHJJNJJJJJJJBJJBBJJJNHMNJJJ"
171,"NJJJJMNJJBMJNNJNJJDBNNHJNNJBJJJBHJBNMNJNN"
172,"JNHJJNNBNNHNJJJNJBNJNNJJDNDHJJNNNJJJHBJJJ"
173,"BNDJJNNNDJDMNNNNJNDJJHHNJBBHNNJDHHJNNJHJM"
174,"NBMJNJNMBNJDJNHNHJHBJJJNHNNNMJHJDJNDHJNNJ"
175,"NBHJNJJJNJJJHJNNJHJNJHNJBNBBJJDNNDHHMJNHJ"
176,"JJNBNNJNNBDNJHNNNJJHNHBJNJJJJJNNNNJJJNJNJ"
177,"BDJHJJHJJJNBBHHJJHJJJJHNJJNJJNJNBNNNNHBHN"
178,"JDDJNNNNJBBHNNJHJMNNJNJJJJNJJBNNNBJHDNJJJ"
179,"BJMJDNHDJNJDHJJHNJJJNJJDJNJNJMBJMJHNJNHBJ"
180,"NMJNNJJHNMJBDHNNHJHNNNBNJNJJJNHJNBJJJNJJJ"
181,"JHBJJJJJNJNNNJHNBHNNNJJNNHNJNJNJNNJJJJJNJ"
182,"JNJJNJMMHDJNHJJJJJHHNNNNNBJJDJJNJHDMJNJHH"
183,"MJBHNJJJJHNHJNHJJBNNDJJDNJJDJMNJNJJBJBNNJ"
184,"BDNJJMHJJJNBHBNHNJJJBHMNBNHNBJBNHJJJNJNJB"
185,"JJNNBJJJNNMJJBJHNHNJDJNNNBNNJNHBJJNJNJHJH"
186,"HJJNMNNNJHDHJDJDBMNDJJJNNNJNJHDNNJNJJBNNN"
187,"JJHNJJNJNBBJNNNNNHJJNHJJJJJDBNDJJJJMJNJNB"
188,"JJBNNJDJHBJHNJNHMNJMDBNMHHDHJNJJNJDMJNHHN"
189,"JJNJNHNJNJBHJJBNMDJJJMNHNJJJMJHDJJBJJJDJJ"
190,"NBJJBMBJDNJJJMJNNMNHJJJNJMNJJNBBNNJNNBNJJ"
191,"NJJJDBJHJJJJNJNJJJBNNHJJBMNNJNJJJNNDNJJJN"
192,"HHJJNJNJHBNJJJNHJJHJNBJJNNJBDHJNJNNNNNJBJ"
193,"JJJHDHJMNJNNJNNNHBNNJJJJMHJJBNNJJJNBNNJJJ"
194,"NHJJNNJHNNNNMJHJJJHDHNNNNMJNNNJJJNHJMJNHB"
195,"JJNNHJNNNNDHJHJJHJJNHBJJNJNJJJJJHJBJNNJNH"
196,"MHNNJHJBJJNJMNMHNNMMJNHHBBJBNJJJNNNNHJJBJ"
197,"NNJNNJNHJNNNJBHNJJBHNMNHJDHDBMNHNJJBJDJNJ"
198,"NNNNJHJNDNJJJBJJDJJHJJJJJHNNDNJNJJHJNJNJN"
199,"JJNHNJBMHNJHMNJHHJNHBNNJHNJJJHJNJDHNDMJDN"
200,"JJNHHBJJNBBJNHHNBBNNJJNJJJNJJHJNNNNNJNMJJ"
