"league","day","team1","team2","venue","time","geoLat","geoLng","club1","club2","club3","club4","num_offs","toplev1","toplev2","cupmode","whprosp","offownc","lirest","nwh","id"
5,3,50,49,4,11,50.4630026393518,6.27708032101627,50,-1,49,-1,4,0,0,0,1,1,2,1,38
1,4,11,4,8,11,48.0166229399098,6.79216590320288,11,-1,4,-1,4,1,0,0,0,0,0,1,39
1,4,7,12,10,15,51.0490578442246,11.2937008570648,7,-1,12,-1,4,1,0,0,0,0,0,1,40
1,4,1,8,4,15,50.4630026393518,6.27708032101627,1,-1,8,-1,4,1,0,0,0,0,0,1,41
1,4,10,3,1,15,51.3197863397837,6.9578721462528,10,-1,3,-1,4,1,0,0,0,0,0,1,42
1,4,2,6,5,9,49.8004340254783,11.4832358689571,2,-1,6,-1,4,1,0,0,0,0,0,1,43
1,4,9,5,7,17,48.2503199014495,7.16757455448824,9,-1,5,-1,4,1,0,0,0,0,0,1,44
2,4,16,21,3,17,49.260706546084,7.08154566545642,16,-1,21,-1,4,0,1,0,0,0,0,1,45
2,4,22,14,1,17,51.3197863397837,6.9578721462528,22,-1,14,-1,4,0,1,0,0,0,0,1,46
3,4,30,35,7,13,48.2503199014495,7.16757455448824,30,-1,35,-1,4,0,0,0,0,0,1,1,47
3,4,25,27,6,11,48.7847782054638,8.35101408473403,25,-1,27,-1,4,0,0,0,0,0,1,1,48
4,4,46,44,2,11,50.6062973339766,7.92283692377693,46,-1,44,-1,4,0,0,0,1,0,2,1,49
5,4,55,54,5,13,49.8004340254783,11.4832358689571,55,-1,54,-1,4,0,0,0,1,1,2,1,50
5,4,51,60,1,11,51.3197863397837,6.9578721462528,51,-1,60,-1,4,0,0,0,1,1,2,1,51
5,4,59,53,8,9,48.0166229399098,6.79216590320288,59,-1,53,-1,4,0,0,0,1,1,2,1,52
5,4,49,56,12,13,51.3842453732669,11.3672987955453,49,-1,56,-1,4,0,0,0,1,1,2,1,53
1,5,8,12,12,15,51.3842453732669,11.3672987955453,8,-1,12,-1,4,1,0,0,0,0,0,1,54
1,5,10,2,1,9,51.3197863397837,6.9578721462528,10,-1,2,-1,4,1,0,0,0,0,0,1,55
3,5,28,26,9,11,51.648883715633,9.64856671216635,28,-1,26,-1,4,0,0,0,0,0,1,1,56
4,5,47,38,10,17,51.0490578442246,11.2937008570648,47,-1,38,-1,4,0,0,0,1,0,2,1,57
5,5,55,58,5,9,49.8004340254783,11.4832358689571,55,-1,58,-1,4,0,0,0,1,1,2,1,58
5,5,60,49,7,11,48.2503199014495,7.16757455448824,60,-1,49,-1,4,0,0,0,1,1,2,1,59
5,5,56,59,9,15,51.648883715633,9.64856671216635,56,-1,59,-1,4,0,0,0,1,1,2,1,60
5,5,52,54,11,11,49.9242388983531,8.5205255845983,52,-1,54,-1,4,0,0,0,1,1,2,1,61
2,6,13,20,2,9,50.6062973339766,7.92283692377693,13,-1,20,-1,4,0,1,0,0,0,0,1,62
2,6,21,18,4,11,50.4630026393518,6.27708032101627,21,-1,18,-1,4,0,1,0,0,0,0,1,63
2,6,19,15,9,13,51.648883715633,9.64856671216635,19,-1,15,-1,4,0,1,0,0,0,0,1,64
3,6,31,32,4,17,50.4630026393518,6.27708032101627,31,-1,32,-1,4,0,0,0,0,0,1,1,65
4,6,40,43,12,11,51.3842453732669,11.3672987955453,40,-1,43,-1,4,0,0,0,1,0,2,1,66
4,6,45,38,6,15,48.7847782054638,8.35101408473403,45,-1,38,-1,4,0,0,0,1,0,2,1,67
5,6,57,49,2,15,50.6062973339766,7.92283692377693,57,-1,49,-1,4,0,0,0,1,1,2,1,68
5,6,53,51,6,17,48.7847782054638,8.35101408473403,53,-1,51,-1,4,0,0,0,1,1,2,1,69
1,7,11,4,8,15,48.0166229399098,6.79216590320288,11,-1,4,-1,4,1,0,0,0,0,0,1,70
1,7,12,10,3,9,49.260706546084,7.08154566545642,12,-1,10,-1,4,1,0,0,0,0,0,1,71
1,7,8,7,12,15,51.3842453732669,11.3672987955453,8,-1,7,-1,4,1,0,0,0,0,0,1,72
1,7,2,1,5,11,49.8004340254783,11.4832358689571,2,-1,1,-1,4,1,0,0,0,0,0,1,73
2,7,20,15,8,11,48.0166229399098,6.79216590320288,20,-1,15,-1,4,0,1,0,0,0,0,1,74
2,7,23,13,10,9,51.0490578442246,11.2937008570648,23,-1,13,-1,4,0,1,0,0,0,0,1,75
2,7,24,16,12,15,51.3842453732669,11.3672987955453,24,-1,16,-1,4,0,1,0,0,0,0,1,76
3,7,35,30,12,17,51.3842453732669,11.3672987955453,35,-1,30,-1,4,0,0,0,0,0,1,1,77
3,7,34,28,8,11,48.0166229399098,6.79216590320288,34,-1,28,-1,4,0,0,0,0,0,1,1,78
3,7,36,31,3,17,49.260706546084,7.08154566545642,36,-1,31,-1,4,0,0,0,0,0,1,1,79
3,7,25,26,6,9,48.7847782054638,8.35101408473403,25,-1,26,-1,4,0,0,0,0,0,1,1,80
4,7,47,38,10,9,51.0490578442246,11.2937008570648,47,-1,38,-1,4,0,0,0,1,0,2,1,81
5,7,59,55,8,9,48.0166229399098,6.79216590320288,59,-1,55,-1,4,0,0,0,1,1,2,1,82
5,7,54,49,10,11,51.0490578442246,11.2937008570648,54,-1,49,-1,4,0,0,0,1,1,2,1,83
5,7,53,51,6,13,48.7847782054638,8.35101408473403,53,-1,51,-1,4,0,0,0,1,1,2,1,84
5,7,56,58,9,13,51.648883715633,9.64856671216635,56,-1,58,-1,4,0,0,0,1,1,2,1,85
2,8,16,17,3,15,49.260706546084,7.08154566545642,16,-1,17,-1,4,0,1,0,0,0,0,1,86
2,8,21,19,4,15,50.4630026393518,6.27708032101627,21,-1,19,-1,4,0,1,0,0,0,0,1,87
3,8,26,27,1,11,51.3197863397837,6.9578721462528,26,-1,27,-1,4,0,0,0,0,0,1,1,88
3,8,34,36,8,9,48.0166229399098,6.79216590320288,34,-1,36,-1,4,0,0,0,0,0,1,1,89
3,8,31,35,4,13,50.4630026393518,6.27708032101627,31,-1,35,-1,4,0,0,0,0,0,1,1,90
4,8,39,44,9,13,51.648883715633,9.64856671216635,39,-1,44,-1,4,0,0,0,1,0,2,1,91
4,8,41,42,3,9,49.260706546084,7.08154566545642,41,-1,42,-1,4,0,0,0,1,0,2,1,92
5,8,56,57,9,9,51.648883715633,9.64856671216635,56,-1,57,-1,4,0,0,0,1,1,2,1,93
5,8,60,51,7,17,48.2503199014495,7.16757455448824,60,-1,51,-1,4,0,0,0,1,1,2,1,94
1,9,12,3,3,17,49.260706546084,7.08154566545642,12,-1,3,-1,4,1,0,0,0,0,0,1,95
1,9,11,4,8,17,48.0166229399098,6.79216590320288,11,-1,4,-1,4,1,0,0,0,0,0,1,96
2,9,19,18,9,15,51.648883715633,9.64856671216635,19,-1,18,-1,4,0,1,0,0,0,0,1,97
3,9,33,30,2,13,50.6062973339766,7.92283692377693,33,-1,30,-1,4,0,0,0,0,0,1,1,98
4,9,38,40,11,9,49.9242388983531,8.5205255845983,38,-1,40,-1,4,0,0,0,1,0,2,1,99
4,9,39,47,9,11,51.648883715633,9.64856671216635,39,-1,47,-1,4,0,0,0,1,0,2,1,100
4,9,43,37,4,11,50.4630026393518,6.27708032101627,43,-1,37,-1,4,0,0,0,1,0,2,1,101
5,9,51,49,1,11,51.3197863397837,6.9578721462528,51,-1,49,-1,4,0,0,0,1,1,2,1,102
1,10,12,11,3,15,49.260706546084,7.08154566545642,12,-1,11,-1,4,1,0,0,0,0,0,1,103
1,10,5,10,6,9,48.7847782054638,8.35101408473403,5,-1,10,-1,4,1,0,0,0,0,0,1,104
1,10,1,9,4,15,50.4630026393518,6.27708032101627,1,-1,9,-1,4,1,0,0,0,0,0,1,105
3,10,28,33,9,15,51.648883715633,9.64856671216635,28,-1,33,-1,4,0,0,0,0,0,1,1,106
4,10,38,37,11,17,49.9242388983531,8.5205255845983,38,-1,37,-1,4,0,0,0,1,0,2,1,107
4,10,41,48,3,9,49.260706546084,7.08154566545642,41,-1,48,-1,4,0,0,0,1,0,2,1,108
4,10,39,46,9,17,51.648883715633,9.64856671216635,39,-1,46,-1,4,0,0,0,1,0,2,1,109
4,10,43,40,4,15,50.4630026393518,6.27708032101627,43,-1,40,-1,4,0,0,0,1,0,2,1,110
5,10,49,59,12,11,51.3842453732669,11.3672987955453,49,-1,59,-1,4,0,0,0,1,1,2,1,111
5,10,56,53,9,13,51.648883715633,9.64856671216635,56,-1,53,-1,4,0,0,0,1,1,2,1,112
1,11,10,11,1,17,51.3197863397837,6.9578721462528,10,-1,11,-1,4,1,0,0,0,0,0,1,113
1,11,9,12,7,11,48.2503199014495,7.16757455448824,9,-1,12,-1,4,1,0,0,0,0,0,1,114
1,11,3,1,2,9,50.6062973339766,7.92283692377693,3,-1,1,-1,4,1,0,0,0,0,0,1,115
1,11,7,4,10,13,51.0490578442246,11.2937008570648,7,-1,4,-1,4,1,0,0,0,0,0,1,116
2,11,16,15,3,15,49.260706546084,7.08154566545642,16,-1,15,-1,4,0,1,0,0,0,0,1,117
2,11,23,24,10,15,51.0490578442246,11.2937008570648,23,-1,24,-1,4,0,1,0,0,0,0,1,118
3,11,25,29,6,13,48.7847782054638,8.35101408473403,25,-1,29,-1,4,0,0,0,0,0,1,1,119
3,11,36,34,3,15,49.260706546084,7.08154566545642,36,-1,34,-1,4,0,0,0,0,0,1,1,120
4,11,43,48,4,13,50.4630026393518,6.27708032101627,43,-1,48,-1,4,0,0,0,1,0,2,1,121
4,11,47,44,10,11,51.0490578442246,11.2937008570648,47,-1,44,-1,4,0,0,0,1,0,2,1,122
4,11,45,46,6,17,48.7847782054638,8.35101408473403,45,-1,46,-1,4,0,0,0,1,0,2,1,123
5,11,60,57,7,17,48.2503199014495,7.16757455448824,60,-1,57,-1,4,0,0,0,1,1,2,1,124
5,11,55,59,5,11,49.8004340254783,11.4832358689571,55,-1,59,-1,4,0,0,0,1,1,2,1,125
1,12,11,1,8,11,48.0166229399098,6.79216590320288,11,-1,1,-1,4,1,0,0,0,0,0,1,126
1,12,4,5,11,13,49.9242388983531,8.5205255845983,4,-1,5,-1,4,1,0,0,0,0,0,1,127
1,12,12,3,3,9,49.260706546084,7.08154566545642,12,-1,3,-1,4,1,0,0,0,0,0,1,128
3,12,34,26,8,9,48.0166229399098,6.79216590320288,34,-1,26,-1,4,0,0,0,0,0,1,1,129
3,12,28,27,9,17,51.648883715633,9.64856671216635,28,-1,27,-1,4,0,0,0,0,0,1,1,130
4,12,46,38,2,13,50.6062973339766,7.92283692377693,46,-1,38,-1,4,0,0,0,1,0,2,1,131
4,12,44,42,7,13,48.2503199014495,7.16757455448824,44,-1,42,-1,4,0,0,0,1,0,2,1,132
5,12,50,60,4,17,50.4630026393518,6.27708032101627,50,-1,60,-1,4,0,0,0,1,1,2,1,133
5,12,49,52,12,11,51.3842453732669,11.3672987955453,49,-1,52,-1,4,0,0,0,1,1,2,1,134
1,13,10,6,1,13,51.3197863397837,6.9578721462528,10,-1,6,-1,4,1,0,0,0,0,0,1,135
2,13,14,17,6,9,48.7847782054638,8.35101408473403,14,-1,17,-1,4,0,1,0,0,0,0,1,136
2,13,16,18,3,9,49.260706546084,7.08154566545642,16,-1,18,-1,4,0,1,0,0,0,0,1,137
3,13,27,28,10,17,51.0490578442246,11.2937008570648,27,-1,28,-1,4,0,0,0,0,0,1,1,138
3,13,30,26,7,15,48.2503199014495,7.16757455448824,30,-1,26,-1,4,0,0,0,0,0,1,1,139
3,13,33,25,2,15,50.6062973339766,7.92283692377693,33,-1,25,-1,4,0,0,0,0,0,1,1,140
3,13,34,29,8,15,48.0166229399098,6.79216590320288,34,-1,29,-1,4,0,0,0,0,0,1,1,141
4,13,43,37,4,13,50.4630026393518,6.27708032101627,43,-1,37,-1,4,0,0,0,1,0,2,1,142
4,13,42,45,1,13,51.3197863397837,6.9578721462528,42,-1,45,-1,4,0,0,0,1,0,2,1,143
5,13,52,53,11,17,49.9242388983531,8.5205255845983,52,-1,53,-1,4,0,0,0,1,1,2,1,144
1,14,7,10,10,11,51.0490578442246,11.2937008570648,7,-1,10,-1,4,1,0,0,0,0,0,1,145
1,14,3,6,2,13,50.6062973339766,7.92283692377693,3,-1,6,-1,4,1,0,0,0,0,0,1,146
1,14,9,2,7,13,48.2503199014495,7.16757455448824,9,-1,2,-1,4,1,0,0,0,0,0,1,147
1,14,11,8,8,15,48.0166229399098,6.79216590320288,11,-1,8,-1,4,1,0,0,0,0,0,1,148
2,14,14,19,6,15,48.7847782054638,8.35101408473403,14,-1,19,-1,4,0,1,0,0,0,0,1,149
2,14,18,13,5,9,49.8004340254783,11.4832358689571,18,-1,13,-1,4,0,1,0,0,0,0,1,150
2,14,24,16,12,11,51.3842453732669,11.3672987955453,24,-1,16,-1,4,0,1,0,0,0,0,1,151
3,14,32,35,11,15,49.9242388983531,8.5205255845983,32,-1,35,-1,4,0,0,0,0,0,1,1,152
3,14,27,25,10,13,51.0490578442246,11.2937008570648,27,-1,25,-1,4,0,0,0,0,0,1,1,153
4,14,41,43,3,13,49.260706546084,7.08154566545642,41,-1,43,-1,4,0,0,0,1,0,2,1,154
4,14,47,37,10,13,51.0490578442246,11.2937008570648,47,-1,37,-1,4,0,0,0,1,0,2,1,155
5,14,57,53,2,9,50.6062973339766,7.92283692377693,57,-1,53,-1,4,0,0,0,1,1,2,1,156
5,14,55,59,5,11,49.8004340254783,11.4832358689571,55,-1,59,-1,4,0,0,0,1,1,2,1,157
5,14,52,51,11,9,49.9242388983531,8.5205255845983,52,-1,51,-1,4,0,0,0,1,1,2,1,158
1,15,12,5,3,15,49.260706546084,7.08154566545642,12,-1,5,-1,4,1,0,0,0,0,0,1,159
1,15,10,6,1,11,51.3197863397837,6.9578721462528,10,-1,6,-1,4,1,0,0,0,0,0,1,160
2,15,15,21,11,9,49.9242388983531,8.5205255845983,15,-1,21,-1,4,0,1,0,0,0,0,1,161
2,15,18,19,5,13,49.8004340254783,11.4832358689571,18,-1,19,-1,4,0,1,0,0,0,0,1,162
2,15,16,14,3,9,49.260706546084,7.08154566545642,16,-1,14,-1,4,0,1,0,0,0,0,1,163
2,15,17,24,7,17,48.2503199014495,7.16757455448824,17,-1,24,-1,4,0,1,0,0,0,0,1,164
3,15,36,26,3,11,49.260706546084,7.08154566545642,36,-1,26,-1,4,0,0,0,0,0,1,1,165
3,15,33,35,2,15,50.6062973339766,7.92283692377693,33,-1,35,-1,4,0,0,0,0,0,1,1,166
3,15,30,27,7,13,48.2503199014495,7.16757455448824,30,-1,27,-1,4,0,0,0,0,0,1,1,167
3,15,29,25,5,9,49.8004340254783,11.4832358689571,29,-1,25,-1,4,0,0,0,0,0,1,1,168
4,15,47,41,10,9,51.0490578442246,11.2937008570648,47,-1,41,-1,4,0,0,0,1,0,2,1,169
4,15,43,46,4,9,50.4630026393518,6.27708032101627,43,-1,46,-1,4,0,0,0,1,0,2,1,170
5,15,60,59,7,15,48.2503199014495,7.16757455448824,60,-1,59,-1,4,0,0,0,1,1,2,1,171
5,15,52,55,11,15,49.9242388983531,8.5205255845983,52,-1,55,-1,4,0,0,0,1,1,2,1,172
5,15,49,53,12,15,51.3842453732669,11.3672987955453,49,-1,53,-1,4,0,0,0,1,1,2,1,173
1,16,12,6,3,17,49.260706546084,7.08154566545642,12,-1,6,-1,4,1,0,0,0,0,0,1,174
1,16,10,11,1,13,51.3197863397837,6.9578721462528,10,-1,11,-1,4,1,0,0,0,0,0,1,175
1,16,1,4,4,13,50.4630026393518,6.27708032101627,1,-1,4,-1,4,1,0,0,0,0,0,1,176
1,16,3,7,2,9,50.6062973339766,7.92283692377693,3,-1,7,-1,4,1,0,0,0,0,0,1,177
1,16,8,2,12,9,51.3842453732669,11.3672987955453,8,-1,2,-1,4,1,0,0,0,0,0,1,178
2,16,13,14,2,13,50.6062973339766,7.92283692377693,13,-1,14,-1,4,0,1,0,0,0,0,1,179
2,16,19,18,9,15,51.648883715633,9.64856671216635,19,-1,18,-1,4,0,1,0,0,0,0,1,180
2,16,22,24,1,17,51.3197863397837,6.9578721462528,22,-1,24,-1,4,0,1,0,0,0,0,1,181
2,16,21,15,4,15,50.4630026393518,6.27708032101627,21,-1,15,-1,4,0,1,0,0,0,0,1,182
3,16,29,33,5,9,49.8004340254783,11.4832358689571,29,-1,33,-1,4,0,0,0,0,0,1,1,183
3,16,31,34,4,9,50.4630026393518,6.27708032101627,31,-1,34,-1,4,0,0,0,0,0,1,1,184
4,16,42,48,1,13,51.3197863397837,6.9578721462528,42,-1,48,-1,4,0,0,0,1,0,2,1,185
4,16,38,37,11,15,49.9242388983531,8.5205255845983,38,-1,37,-1,4,0,0,0,1,0,2,1,186
4,16,43,39,4,17,50.4630026393518,6.27708032101627,43,-1,39,-1,4,0,0,0,1,0,2,1,187
1,17,3,10,2,9,50.6062973339766,7.92283692377693,3,-1,10,-1,4,1,0,0,0,0,0,1,188
1,17,8,1,12,9,51.3842453732669,11.3672987955453,8,-1,1,-1,4,1,0,0,0,0,0,1,189
2,17,19,17,9,15,51.648883715633,9.64856671216635,19,-1,17,-1,4,0,1,0,0,0,0,1,190
2,17,18,15,5,9,49.8004340254783,11.4832358689571,18,-1,15,-1,4,0,1,0,0,0,0,1,191
3,17,30,28,7,11,48.2503199014495,7.16757455448824,30,-1,28,-1,4,0,0,0,0,0,1,1,192
4,17,41,45,3,15,49.260706546084,7.08154566545642,41,-1,45,-1,4,0,0,0,1,0,2,1,193
5,17,57,53,2,11,50.6062973339766,7.92283692377693,57,-1,53,-1,4,0,0,0,1,1,2,1,194
5,17,54,56,10,15,51.0490578442246,11.2937008570648,54,-1,56,-1,4,0,0,0,1,1,2,1,195
1,18,1,2,4,9,50.4630026393518,6.27708032101627,1,-1,2,-1,4,1,0,0,0,0,0,1,196
1,18,6,11,9,11,51.648883715633,9.64856671216635,6,-1,11,-1,4,1,0,0,0,0,0,1,197
2,18,22,19,1,13,51.3197863397837,6.9578721462528,22,-1,19,-1,4,0,1,0,0,0,0,1,198
2,18,23,14,10,9,51.0490578442246,11.2937008570648,23,-1,14,-1,4,0,1,0,0,0,0,1,199
2,18,18,24,5,15,49.8004340254783,11.4832358689571,18,-1,24,-1,4,0,1,0,0,0,0,1,200
3,18,25,31,6,11,48.7847782054638,8.35101408473403,25,-1,31,-1,4,0,0,0,0,0,1,1,201
3,18,36,26,3,13,49.260706546084,7.08154566545642,36,-1,26,-1,4,0,0,0,0,0,1,1,202
4,18,45,39,6,9,48.7847782054638,8.35101408473403,45,-1,39,-1,4,0,0,0,1,0,2,1,203
4,18,48,38,8,13,48.0166229399098,6.79216590320288,48,-1,38,-1,4,0,0,0,1,0,2,1,204
5,18,56,54,9,13,51.648883715633,9.64856671216635,56,-1,54,-1,4,0,0,0,1,1,2,1,205
5,18,50,59,4,13,50.4630026393518,6.27708032101627,50,-1,59,-1,4,0,0,0,1,1,2,1,206
5,18,58,55,3,11,49.260706546084,7.08154566545642,58,-1,55,-1,4,0,0,0,1,1,2,1,207
5,18,53,60,6,11,48.7847782054638,8.35101408473403,53,-1,60,-1,4,0,0,0,1,1,2,1,208
1,19,5,2,6,11,48.7847782054638,8.35101408473403,5,-1,2,-1,4,1,0,0,0,0,0,1,209
1,19,10,6,1,9,51.3197863397837,6.9578721462528,10,-1,6,-1,4,1,0,0,0,0,0,1,210
1,19,8,11,12,15,51.3842453732669,11.3672987955453,8,-1,11,-1,4,1,0,0,0,0,0,1,211
2,19,13,17,2,9,50.6062973339766,7.92283692377693,13,-1,17,-1,4,0,1,0,0,0,0,1,212
2,19,19,20,9,15,51.648883715633,9.64856671216635,19,-1,20,-1,4,0,1,0,0,0,0,1,213
2,19,21,23,4,17,50.4630026393518,6.27708032101627,21,-1,23,-1,4,0,1,0,0,0,0,1,214
2,19,18,22,5,13,49.8004340254783,11.4832358689571,18,-1,22,-1,4,0,1,0,0,0,0,1,215
3,19,32,29,11,11,49.9242388983531,8.5205255845983,32,-1,29,-1,4,0,0,0,0,0,1,1,216
3,19,28,36,9,9,51.648883715633,9.64856671216635,28,-1,36,-1,4,0,0,0,0,0,1,1,217
4,19,44,45,7,15,48.2503199014495,7.16757455448824,44,-1,45,-1,4,0,0,0,1,0,2,1,218
4,19,46,38,2,17,50.6062973339766,7.92283692377693,46,-1,38,-1,4,0,0,0,1,0,2,1,219
4,19,37,43,5,13,49.8004340254783,11.4832358689571,37,-1,43,-1,4,0,0,0,1,0,2,1,220
4,19,47,39,10,11,51.0490578442246,11.2937008570648,47,-1,39,-1,4,0,0,0,1,0,2,1,221
5,19,57,60,2,9,50.6062973339766,7.92283692377693,57,-1,60,-1,4,0,0,0,1,1,2,1,222
5,19,50,54,4,13,50.4630026393518,6.27708032101627,50,-1,54,-1,4,0,0,0,1,1,2,1,223
5,19,56,49,9,15,51.648883715633,9.64856671216635,56,-1,49,-1,4,0,0,0,1,1,2,1,224
1,20,4,2,11,15,49.9242388983531,8.5205255845983,4,-1,2,-1,4,1,0,0,0,0,0,1,225
1,20,1,5,4,9,50.4630026393518,6.27708032101627,1,-1,5,-1,4,1,0,0,0,0,0,1,226
1,20,3,8,2,13,50.6062973339766,7.92283692377693,3,-1,8,-1,4,1,0,0,0,0,0,1,227
2,20,14,13,6,13,48.7847782054638,8.35101408473403,14,-1,13,-1,4,0,1,0,0,0,0,1,228
3,20,26,30,1,9,51.3197863397837,6.9578721462528,26,-1,30,-1,4,0,0,0,0,0,1,1,229
3,20,33,25,2,15,50.6062973339766,7.92283692377693,33,-1,25,-1,4,0,0,0,0,0,1,1,230
4,20,37,43,5,17,49.8004340254783,11.4832358689571,37,-1,43,-1,4,0,0,0,1,0,2,1,231
4,20,42,48,1,13,51.3197863397837,6.9578721462528,42,-1,48,-1,4,0,0,0,1,0,2,1,232
4,20,38,45,11,11,49.9242388983531,8.5205255845983,38,-1,45,-1,4,0,0,0,1,0,2,1,233
4,20,41,39,3,17,49.260706546084,7.08154566545642,41,-1,39,-1,4,0,0,0,1,0,2,1,234
5,20,54,57,10,13,51.0490578442246,11.2937008570648,54,-1,57,-1,4,0,0,0,1,1,2,1,235
1,21,4,6,11,15,49.9242388983531,8.5205255845983,4,-1,6,-1,4,1,0,0,0,0,0,1,236
1,21,3,10,2,11,50.6062973339766,7.92283692377693,3,-1,10,-1,4,1,0,0,0,0,0,1,237
2,21,16,18,3,13,49.260706546084,7.08154566545642,16,-1,18,-1,4,0,1,0,0,0,0,1,238
2,21,20,13,8,13,48.0166229399098,6.79216590320288,20,-1,13,-1,4,0,1,0,0,0,0,1,239
3,21,30,27,7,11,48.2503199014495,7.16757455448824,30,-1,27,-1,4,0,0,0,0,0,1,1,240
3,21,25,32,6,11,48.7847782054638,8.35101408473403,25,-1,32,-1,4,0,0,0,0,0,1,1,241
3,21,35,34,12,13,51.3842453732669,11.3672987955453,35,-1,34,-1,4,0,0,0,0,0,1,1,242
3,21,28,31,9,13,51.648883715633,9.64856671216635,28,-1,31,-1,4,0,0,0,0,0,1,1,243
4,21,46,45,2,9,50.6062973339766,7.92283692377693,46,-1,45,-1,4,0,0,0,1,0,2,1,244
4,21,38,48,11,11,49.9242388983531,8.5205255845983,38,-1,48,-1,4,0,0,0,1,0,2,1,245
4,21,42,43,1,9,51.3197863397837,6.9578721462528,42,-1,43,-1,4,0,0,0,1,0,2,1,246
4,21,47,41,10,17,51.0490578442246,11.2937008570648,47,-1,41,-1,4,0,0,0,1,0,2,1,247
5,21,57,52,2,17,50.6062973339766,7.92283692377693,57,-1,52,-1,4,0,0,0,1,1,2,1,248
