"referee","avail"
160,"JJNBJJNDJB"
161,"JJJJJJJNJN"
162,"NNJNJMJJJD"
163,"NJHJBJJJNJ"
164,"JNNNBNMJHJ"
165,"JJJHHJNNNJ"
166,"JNNBHNDJJN"
167,"NJJJBJJJJN"
168,"DJNNNHJJJH"
169,"NBNJNNNJJN"
170,"JMNJNDJDHJ"
171,"NJJNHJDJJJ"
172,"NNHHJJNHNH"
173,"DJNNJNHBNH"
174,"MBJNHNJNHD"
175,"JNJNNJNHJB"
176,"JJJNDNJJJN"
177,"JBJNHBJBDM"
178,"NHHNJJNHHH"
179,"JJJHBJHBNH"
180,"JJBBJNNNNJ"
181,"JNNNNNMDDH"
182,"BJBDJJNJMN"
183,"HNHBHJJJNB"
184,"JNJHNNJJNH"
185,"HMNJJJJNNJ"
186,"NJDHBNDNHN"
187,"NJJJMJJJMJ"
188,"JBBHBJNNNB"
189,"JBDHJJJJDD"
190,"NMJNNNHHNN"
191,"NNNBJDHNHD"
192,"JJNJJJHHJN"
193,"JBJJMJBHJJ"
194,"JNJJJNJJNJ"
195,"JDBMJJJMNJ"
196,"JNJJNNJJHJ"
197,"NBNNDJJNNJ"
198,"JNNBJNJJJJ"
199,"JJNJJJDBBH"
200,"NJJJJJJNJN"
