"referee","avail"
138,"NNBNBNNNMJJNDJNJJNNB"
139,"NNJNNNJBNDJJNJDNNNND"
140,"MNNNMHNDNNBNHNJNNJNN"
141,"JNNNMNMNNNNMDHNJNNMN"
142,"NNNHJHNNNNNNNNNJNNNB"
143,"NNNNNNHJNJNNNNMNNDNN"
144,"JNJHNNNNJMJJNDJJNMNH"
145,"NNNNNDDMHHNJNNNNNNNN"
146,"HNNNBNNMJNDNJNNJNNNJ"
147,"NNNDMJDJNNHDDJJJBNNN"
148,"NHNNNNNNBBJJNNHNNNND"
149,"NNNHNNHNHNNJNBJBNNNN"
150,"HNDNBJNBNNNJNNNNNBNN"
151,"NNNJNMNJNNNNNNBNNMNN"
152,"NNNNDMDNNNNNNNNJBDNJ"
153,"NNNNNNNBHNNDDNNDNMNM"
154,"MDJDNNJNNNBNNNNJDNNN"
155,"NBMNNNJNNJNNNNBNNHDN"
156,"BDNHJJNNNJJNNJBNNJJH"
157,"NNNNNJNNMNNNHNNNNNJN"
158,"DNNNNNNNMNHNNNNNNHNH"
159,"NNNNHDNNNHNNNNJNDNJB"
160,"JHNJNNJNNNDNJNJNNNJN"
161,"NNNNNNNNNJMNNNNNNJNN"
162,"JDNNNNNNNNJJNDNDJNNN"
163,"NNNNJJNJNJNJDNJNNNNJ"
164,"NNNNMNMNJNDNNNNJNNDN"
165,"NMJJHNNHNNBNNNJBNBHN"
166,"NNNNNNNNNNNNNMJNNJNN"
167,"NNJNJJBNNNNNNNMNBNNM"
168,"NNNNNNNNNJNNNNNNHNBN"
169,"JNDNNNNJNBNHJNNJDMNM"
170,"NMBJHNMNJNNNNJHJNDJB"
171,"JHNJJJNNMNNNMJNNNDNJ"
172,"JNHMNNNJHJNMDJNMJNNM"
173,"DDNJNNJHNMNNJNNMJNJN"
174,"MJJHNNMNJNNNNNDNNNNN"
175,"NJDNNNNNNJMNNJDNJJNN"
176,"NNNNNBNJNNDNNMHDJBNN"
177,"NJNNJJNBNNHNDNDNNNNN"
178,"NHJNNBNNJJMDHNNJJMBN"
179,"NNHNNNJHJHJJNJJNNDJJ"
180,"JDDJNNNJNJNNNHNJDNDN"
181,"NDNNDNNJNNNNJMHJNNDH"
182,"JJNNJNHHMNJNNNNNDNJN"
183,"NNHNNNNBMNHNNNDNNDNJ"
184,"NNJNNNNNNNNNNNNJNNNN"
185,"JMJNNJNNDNNNNNJNNBHN"
186,"JMNNNNJJNBHBNJNNNNNN"
187,"NJNNNHMNNDBJJNNNMNNN"
188,"NNNNJJJNNNNNJBJNJNJB"
189,"NNNBNNNNHMNDDNNHNJNN"
190,"NNNNNJNBHJNMNMNNJNNN"
191,"NHNNNNNJHNJBHJNNNNNN"
192,"NNNBNJJNNJJJNNNJJNNN"
193,"NJNJNNNNDNDNNNMJNMMN"
194,"NNJNNBNNNJNNBNJBNNNJ"
195,"NJNDDNNBNNBDMJJNJNNN"
196,"NNJNNNHNJNNDNJNJNDDN"
197,"JNNJNNJBNNNJJNJNNNJN"
198,"DMJNNDNJNJJNJNNNNJNB"
199,"NBNJNHNDNJJJJNNNNNNN"
200,"JNJNNNBBDNNNNDNNJNJN"
