"referee","avail"
28,"JNJJJNHNNHHNNJJBBJJNMMNHJNJJNBJNHJJJJDNJHDJNNDDNJN"
29,"JNJNBBNHNJNNNNNHMNNDNJJHHNNJJHNDNDJMNJBJJBJBNJJJJJ"
30,"HMJNJDJNBHJMNNNNHNBNNJHJJHJNNMNJNJHHNJNNJBHDJJNJNJ"
31,"HNJJNJJMMJBJMNJNJJBJNBJBNJJHJJHMNBJDNNNJJNBBHDJNMB"
32,"JJJJJNBNJJJHBNNBJNBJNJHNJJNJJHJMJJHNJJJHJJJJJHNJBJ"
33,"NNJMJNNMNHJNBHHNNJBJNNJDNJHNNJJNNNJNNNJBJDHDJHMNBB"
34,"NNNBBJNNJJBJJHMJJNJBHJJHJHNJJNJDHNJNNJJNBNJNHJJJJJ"
35,"NNMNMJNJBNBNJBNJNHNMBBNNDMJHJHHJDHNNJJJNBNJJBJDNNN"
36,"NNNBMBNBJJJNBJHNBJJNNJJBJJDJNDDJNNJNJBJBNNJJHJNDMJ"
37,"JJNHJNNJBJJHDBNNJJJNNNNJHMBJHJJBJDJJHMHJBJBJMJJJNJ"
38,"HNNNJNNJNJJHJNNDJNJNJNHJJBJHNHMJHNNNNJNHMDNNJNNJJN"
39,"HJDJJNJNJJNMNNNNHJDNJNHMNJJJJJHNNJJHNJJJBNNJJMNJJN"
40,"JBDJJJNJBJJNNDJHNHJMNJMBNJDNJNHJNNNNHMHHDJJDBJJJJH"
41,"HNBJHJJNNJHJNNNJJNJNJJNJJDNJNHJJNJJMNBNNMNHJJJJNNH"
42,"JNJJNJJNJDDNJJNJNHJJJNJNHJHHNJDNJJJNHJNJNMJJNJHJJH"
43,"JJJDNBJDHJNJHHJNJJJJNHBJBDJBNJBBJHJJDJHJNNJJNBJBMN"
44,"JNJNJJNJNJNJJNJHNDHBBNNNJJJJJJHBJJJJNNJNBNJNJNNNJB"
45,"NNJBJJMNMJNNBBNHJJHNNBJJBHMJNNJNNNBJJDNMHBJJJNNBNB"
46,"JJNJJMJJHJNJNJNJBNHNJJJJJJMJJHNJJNJNJNJBHNNJNJNMJN"
47,"JJNBJBJNDJJNBJMNJJNJJNJNJHJNDNBJJHHNNNJJBJNNJJHNNJ"
48,"MJHNBNNJNDBJJBDJNNJHJJBNNNBJJJNJJNJJNNJJNBJHNJNBJN"
49,"NBJBJNHJJHNJMMNNHJJNNJNDJHJBNJNNJHNJJJNNBNNNHJNNJH"
50,"HJNNNNJJNBBMJJJBNJBJBNNJNNMJHJJJJJBJDNBNHJBBBNJNJD"
51,"JNJJJJJBHJNNJNJNNJNJNJBNHJJNNNDHJBNJNNMNNJNHJNNJND"
52,"BJMJBJNJJHJJJDJHHJDJJHBJNJNNNDJBJJJJNJMDJNBHNMJBDN"
53,"MJJHJJJNJNNNDBJNNNJJJHNJHNJNNBJNHBJJNJNJDJJDNDHNHN"
54,"JMJJNNDHHJNJNJNBJJJHNNJJNMNJJNJBMJBJMMNMNDHBJJJJJN"
55,"JNHJJHHNJJNNJBJNBNHBJJBMNBNJJJJJNBNJJNHJJNNHNNNDJJ"
56,"BJHJNJHJNJNJJHJJBMNBHNHBNHHNNHNJHJBJJJNNJNJJJBJNHJ"
57,"HJJNHJJNNJJJHJMJBJJJJJNDJHJJBNJJNDJHNJJJJNJBJJBMHN"
58,"JNNNBJBNJJNJDNJNNDMBJJJDNNJJNJJNNNJJBHJMHNJJDNJNHN"
59,"NBJNJBJHNMBJNJBNNHBJBJNJNJNHJJJDBJJJNNJJHHJJJNNJDJ"
60,"DHNJBDHJJNNJJJJJMNNJNDJJNJDBNNNNNNDJNJNNHNNHJNJJJN"
61,"JNBNBJNJDJHHHJNJBJDBNJNHNNJBMJJJJHNJJBBHJBJHMJJJJN"
62,"JHJHJJNJJHBJNNBJJJJBJBNBNJDNNJHNJNBJJMJMNHDJNJJJJN"
63,"BJJNJDJDHMHJJNJJNBNNNHNNJNNJJNNJJDJNJJJNJBJHHNJNJJ"
64,"BJBJNBJMMNNNMNNJNBHNNJHBNJJJHNNBJNJNJHNJNJJDHJJJBN"
65,"NJJJNBJNDBJJBHJJJHJNJJJJJJJBJJMNJJMNNMJNJJNJBMJJNB"
66,"NNNNJNNMJNBNNMJNNJNJNJJMJJHJJNJNJJNJJJJJHJNNJNJJJJ"
67,"DNDNBNNMHJJJJJHHBJBJJJJNJJDHJBBJJJHHMHNJBHNJJNHJJB"
68,"JHJNJBJJJHJNJHJNNHHJNHNJNJBNJNNJJDBJBJHNJJNJJNNDNJ"
69,"BJHJJNJNHNJNJNJJJJNHHJJBNNNNJHBJJJNDNNNNNJJNNNJHJN"
70,"NBNJNNNJHJNNNNJNNNMNJBJJJHJNBMBJNNNHJJJNNBJBJNJJJN"
71,"HNJDJJNNMMBJHMHNBJJNHBJNHJMDDBNHBMMJNJJNNJBNJJDHNJ"
72,"MNHNJJJNNNJDNNBNNHNBNBJJJBNHJBJJJJJNMBNJJJNJNBJDNN"
73,"BHNJNNHJJNNNHJNHHDDJJNNJNNNDJNHDNNBJJJBJHJNHHBNJMJ"
74,"MBBNNNBNNJBJDJNNHHNNJNNJJNNNNNNJJJJJNJHNMNDJJNNNJJ"
75,"JJJHNHHNDJNNNNHJBHHJJNJBJNJJMJHJNNDJNJNBJJNJNJNJNN"
76,"JBHNJBJNJNBMNJMNDJJMJJNJJBJNHNJBDNHNJNNNMNNJBJJNNJ"
77,"JJBJBBJJHJMBNNBBNHJJJJJHJNNBNNDBNNDJMJNJNJNBBJNJNN"
78,"NBBBJHMJJNDJDNNJJJJJBNJNHNNJJNJJJJNNJJJJNNNJJBBNHJ"
79,"HNDHHNNJJNJNBDNJJJJNNJJDBJJDDJJJNJJBBNJJBHNMJJJHJN"
80,"JJNJNNJJDBJJJDJJHJNNJNNJDNJJNNMNNJNBJHNBJNNJHNNJDJ"
81,"NDJMJNJJHNBMHJBMJHHBNJDNNJJNNJMJJNNJJJJJNNNBNJJNBN"
82,"NNNJJJDHJJHJMNNBNBBHJNNNBDJJJNJNJBJJJNNBJJJHJJJJJJ"
83,"JJBMHJNBBDNNBJJNJHJMNNJBNJJJNNJJHJBBJJBNNJJDDJNJNN"
84,"JNNNNNJJHNHJJNJHNJMJJJJNJHNMHBNJHNNJJNMNMJJJHDJNJB"
85,"JJBNNJJBMBBNMMNJJJNNNHJJJHJJMJHJJBJJJBJBHJJNJJJMJM"
86,"JJJBJJJJNJHBMNJJJHBNJHJJNBNJBJNJNJJJNNNBNJNNMHMNJD"
87,"JJJJJHJNNNJJHJJJDJJJJJNJJNJJJJHJJJJNHJJNJNNNNHJHHJ"
88,"NBHJJJHNNJNNJJBNNNMNJBJBJBHJDJHDNBBJNDNBJJDNHNBNJN"
89,"JJJNJHDBBDJJMJDMDJJJJNNNJBJNMJJJNNBMNJHBNBJJJJJJJJ"
90,"JJJDJNJJJNJNBJJHMJJBJNNNBNJJNDJMBNBJJNJNNJDNNJHJNM"
91,"JJNNDJBJNNJNNNBHBJHNJJNDJNJJNNJNJNNHJNJJNNNJJJJBJJ"
92,"HJDBNNDNJJNJJNMBDDHDBHNDHJDJNHDJJJNNJJJJNNNMBJHNDN"
93,"NJJJJJNMJJMHNMHJDNJBBJHNJDDJBJMNNJJNNHNJNMJJNNJNJH"
94,"HJHDMNNJJNBNJJJNBJBJJHJDJJNJNBMJHNJJNJJJMNBDJNNHJN"
95,"HJBDHJJNMNNJNJNJHNNNHJNNNJJMJNJJJNJJJDJNHBMHJJJJHB"
96,"JJNJJNHBJBJJNHNNJMJDDJNJJJNJMJNNNJJJJNJNJJJMNJDNJD"
97,"JNNHJJNMJHJNJHJNHJNNJBHDJJBNDBJNBNHBHJJHJJNMDJHJNJ"
98,"MBJHNJBHHNBJMNNJJJHNJBJJHJJJJBBBNJNDJJJDJHNJNJBHNN"
99,"JJDDNBNNHNNJNJBJJNNJNJBJJJNHNBJNJNNJJHJBHNHJNJJHNM"
100,"HDHJJHNDJMNJMBJBJJHHJNNNJMJNNJMHJNNJJNJNJJNNJNJDNH"
